Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/11/2012
TIME       : 22:54:11
FILENAME   : D:\Diver Office\CSV\bro_oevre2_121114225410_G4445.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-G4445  216.
  Instrument number       =                    
                          =0
  Location                =bro_oevre2
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =..00-G4445  216.
  Instrument number       =                    
  Location                =bro_oevre2
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:00 08-05-12
  End date / time         =00:55:15 21-10-12
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
48000
Date/time;Pressure[cm];Temperature[°C]
2012-05-08 15:00:00;1058.9;13.48
2012-05-08 15:05:00;1059.1;11.86
2012-05-08 15:10:00;1058.1;11.39
2012-05-08 15:15:00;1062.8;14.38
2012-05-08 15:20:00;1059.2;18.22
2012-05-08 15:25:00;1067.9;16.46
2012-05-08 15:30:00;1054.4;6.21
2012-05-08 15:35:00;1056.4;9.29
2012-05-08 15:40:00;1056.8;11.36
2012-05-08 15:45:00;1068.3;4.59
2012-05-08 15:50:00;1066.9;3.24
2012-05-08 15:55:00;1066.4;3.12
2012-05-08 16:00:00;1066.1;3.13
2012-05-08 16:05:00;1065.9;3.13
2012-05-08 16:10:00;1065.9;3.15
2012-05-08 16:15:00;1065.8;3.16
2012-05-08 16:20:00;1065.6;3.15
2012-05-08 16:25:00;1065.8;3.15
2012-05-08 16:30:00;1064.8;3.21
2012-05-08 16:35:00;1065.1;3.17
2012-05-08 16:40:00;1065.4;3.29
2012-05-08 16:45:00;1065.2;3.34
2012-05-08 16:50:00;1064.6;3.39
2012-05-08 16:55:00;1064.3;3.46
2012-05-08 17:00:00;1064.5;3.44
2012-05-08 17:05:00;1064.3;3.45
2012-05-08 17:10:00;1064.5;3.44
2012-05-08 17:15:00;1064.9;3.68
2012-05-08 17:20:00;1063.8;3.69
2012-05-08 17:25:00;1064.0;3.69
2012-05-08 17:30:00;1063.7;3.75
2012-05-08 17:35:00;1064.1;3.85
2012-05-08 17:40:00;1063.8;3.94
2012-05-08 17:45:00;1063.5;3.93
2012-05-08 17:50:00;1063.5;3.92
2012-05-08 17:55:00;1063.6;3.87
2012-05-08 18:00:00;1063.2;3.85
2012-05-08 18:05:00;1063.2;3.84
2012-05-08 18:10:00;1063.7;3.91
2012-05-08 18:15:00;1063.0;3.95
2012-05-08 18:20:00;1063.0;3.95
2012-05-08 18:25:00;1062.7;3.97
2012-05-08 18:30:00;1062.7;3.95
2012-05-08 18:35:00;1062.8;3.98
2012-05-08 18:40:00;1062.8;4.00
2012-05-08 18:45:00;1062.6;4.01
2012-05-08 18:50:00;1063.1;4.01
2012-05-08 18:55:00;1063.5;4.02
2012-05-08 19:00:00;1063.7;4.01
2012-05-08 19:05:00;1063.7;4.04
2012-05-08 19:10:00;1063.5;3.99
2012-05-08 19:15:00;1063.5;3.98
2012-05-08 19:20:00;1064.0;3.95
2012-05-08 19:25:00;1063.7;3.93
2012-05-08 19:30:00;1064.0;4.00
2012-05-08 19:35:00;1063.8;3.98
2012-05-08 19:40:00;1063.8;3.94
2012-05-08 19:45:00;1063.7;3.94
2012-05-08 19:50:00;1064.3;3.96
2012-05-08 19:55:00;1064.5;3.88
2012-05-08 20:00:00;1064.1;3.85
2012-05-08 20:05:00;1064.4;3.90
2012-05-08 20:10:00;1064.3;3.98
2012-05-08 20:15:00;1064.6;4.04
2012-05-08 20:20:00;1064.6;4.06
2012-05-08 20:25:00;1064.9;4.04
2012-05-08 20:30:00;1065.1;4.07
2012-05-08 20:35:00;1065.2;4.04
2012-05-08 20:40:00;1065.7;4.01
2012-05-08 20:45:00;1065.2;3.99
2012-05-08 20:50:00;1064.5;3.98
2012-05-08 20:55:00;1065.1;4.00
2012-05-08 21:00:00;1065.1;3.98
2012-05-08 21:05:00;1065.1;3.92
2012-05-08 21:10:00;1065.6;3.91
2012-05-08 21:15:00;1066.1;3.85
2012-05-08 21:20:00;1066.2;3.99
2012-05-08 21:25:00;1066.2;4.06
2012-05-08 21:30:00;1066.3;4.07
2012-05-08 21:35:00;1066.5;4.05
2012-05-08 21:40:00;1067.5;4.01
2012-05-08 21:45:00;1067.5;4.00
2012-05-08 21:50:00;1067.5;4.01
2012-05-08 21:55:00;1068.0;4.01
2012-05-08 22:00:00;1068.0;3.98
2012-05-08 22:05:00;1068.6;3.97
2012-05-08 22:10:00;1068.3;3.97
2012-05-08 22:15:00;1068.6;3.94
2012-05-08 22:20:00;1069.0;3.92
2012-05-08 22:25:00;1069.1;3.93
2012-05-08 22:30:00;1069.3;3.88
2012-05-08 22:35:00;1069.8;3.87
2012-05-08 22:40:00;1070.5;3.87
2012-05-08 22:45:00;1070.7;3.85
2012-05-08 22:50:00;1069.9;3.80
2012-05-08 22:55:00;1070.8;3.80
2012-05-08 23:00:00;1070.8;3.72
2012-05-08 23:05:00;1071.7;3.66
2012-05-08 23:10:00;1072.1;3.66
2012-05-08 23:15:00;1072.9;3.66
2012-05-08 23:20:00;1073.2;3.70
2012-05-08 23:25:00;1074.4;3.74
2012-05-08 23:30:00;1075.3;3.72
2012-05-08 23:35:00;1075.8;3.69
2012-05-08 23:40:00;1076.1;3.66
2012-05-08 23:45:00;1076.4;3.59
2012-05-08 23:50:00;1076.4;3.61
2012-05-08 23:55:00;1077.3;3.60
2012-05-09 00:00:00;1077.9;3.59
2012-05-09 00:05:00;1078.8;3.63
2012-05-09 00:10:00;1079.4;3.61
2012-05-09 00:15:00;1079.5;3.60
2012-05-09 00:20:00;1079.5;3.58
2012-05-09 00:25:00;1079.5;3.58
2012-05-09 00:30:00;1080.0;3.57
2012-05-09 00:35:00;1080.5;3.54
2012-05-09 00:40:00;1080.6;3.53
2012-05-09 00:45:00;1081.4;3.52
2012-05-09 00:50:00;1082.2;3.50
2012-05-09 00:55:00;1082.7;3.45
2012-05-09 01:00:00;1082.5;3.39
2012-05-09 01:05:00;1083.7;3.38
2012-05-09 01:10:00;1084.0;3.37
2012-05-09 01:15:00;1085.0;3.34
2012-05-09 01:20:00;1086.1;3.31
2012-05-09 01:25:00;1086.9;3.26
2012-05-09 01:30:00;1087.6;3.19
2012-05-09 01:35:00;1087.6;3.12
2012-05-09 01:40:00;1087.6;3.05
2012-05-09 01:45:00;1088.9;3.04
2012-05-09 01:50:00;1088.9;2.93
2012-05-09 01:55:00;1088.9;2.89
2012-05-09 02:00:00;1088.6;2.82
2012-05-09 02:05:00;1089.3;2.78
2012-05-09 02:10:00;1089.1;2.77
2012-05-09 02:15:00;1089.4;2.72
2012-05-09 02:20:00;1089.1;2.66
2012-05-09 02:25:00;1088.6;2.61
2012-05-09 02:30:00;1088.8;2.58
2012-05-09 02:35:00;1088.8;2.61
2012-05-09 02:40:00;1089.6;2.49
2012-05-09 02:45:00;1089.4;2.47
2012-05-09 02:50:00;1089.6;2.47
2012-05-09 02:55:00;1091.3;2.40
2012-05-09 03:00:00;1091.3;2.38
2012-05-09 03:05:00;1091.2;2.33
2012-05-09 03:10:00;1091.0;2.29
2012-05-09 03:15:00;1090.7;2.27
2012-05-09 03:20:00;1091.3;2.19
2012-05-09 03:25:00;1091.2;2.15
2012-05-09 03:30:00;1091.0;2.16
2012-05-09 03:35:00;1090.0;2.12
2012-05-09 03:40:00;1089.9;2.10
2012-05-09 03:45:00;1090.6;2.05
2012-05-09 03:50:00;1089.6;2.00
2012-05-09 03:55:00;1089.9;1.97
2012-05-09 04:00:00;1089.7;1.89
2012-05-09 04:05:00;1090.2;1.83
2012-05-09 04:10:00;1089.9;1.83
2012-05-09 04:15:00;1088.9;1.78
2012-05-09 04:20:00;1088.9;1.74
2012-05-09 04:25:00;1087.8;1.69
2012-05-09 04:30:00;1088.3;1.63
2012-05-09 04:35:00;1087.2;1.64
